n,pos,prevalence,pr_auc,roc_auc,prec_at_10,train_end,eval_year,model,label,train_rows,train_pos,variant
99,5,0.050505050505050504,0.12481279835878013,0.5595744680851064,0.2,2018,2019,CatBoost,label_new,3200,420,A_baseline
105,12,0.11428571428571428,0.18306069717136442,0.482078853046595,0.2,2019,2020,CatBoost,label_new,3726,438,A_baseline
101,3,0.0297029702970297,0.1307798481711525,0.8520408163265306,0.1,2020,2021,CatBoost,label_new,4298,462,A_baseline
107,2,0.018691588785046728,0.10989010989010989,0.8571428571428571,0.09090909090909091,2021,2022,CatBoost,label_new,4899,539,A_baseline
116,6,0.05172413793103448,0.09112532088904965,0.6871212121212121,0.08333333333333333,2022,2023,CatBoost,label_new,5512,599,A_baseline
119,3,0.025210084033613446,0.12822510822510824,0.82183908045977,0.16666666666666666,2023,2024,CatBoost,label_new,6143,612,A_baseline
99,5,0.050505050505050504,0.07588531576908175,0.3595744680851064,0.1,2018,2019,CatBoost,label_new,3200,420,B_macro
105,12,0.11428571428571428,0.19498659381940625,0.48118279569892475,0.1,2019,2020,CatBoost,label_new,3726,438,B_macro
101,3,0.0297029702970297,0.18724696356275305,0.8979591836734695,0.1,2020,2021,CatBoost,label_new,4298,462,B_macro
107,2,0.018691588785046728,0.07889344262295082,0.6857142857142857,0.09090909090909091,2021,2022,CatBoost,label_new,4899,539,B_macro
116,6,0.05172413793103448,0.21324860776080287,0.8666666666666667,0.16666666666666666,2022,2023,CatBoost,label_new,5512,599,B_macro
119,3,0.025210084033613446,0.10745341614906832,0.7701149425287357,0.08333333333333333,2023,2024,CatBoost,label_new,6143,612,B_macro
99,5,0.050505050505050504,0.2098494919059435,0.7000000000000001,0.1,2018,2019,LogReg,label_new,3200,420,A_baseline
105,12,0.11428571428571428,0.44262704887704885,0.7186379928315412,0.6,2019,2020,LogReg,label_new,3726,438,A_baseline
101,3,0.0297029702970297,0.12102255174544331,0.6360544217687074,0.1,2020,2021,LogReg,label_new,4298,462,A_baseline
107,2,0.018691588785046728,0.019824561403508772,0.2952380952380952,0.0,2021,2022,LogReg,label_new,4899,539,A_baseline
116,6,0.05172413793103448,0.20999530348269843,0.7560606060606061,0.16666666666666666,2022,2023,LogReg,label_new,5512,599,A_baseline
119,3,0.025210084033613446,0.1277526395173454,0.6724137931034482,0.08333333333333333,2023,2024,LogReg,label_new,6143,612,A_baseline
99,5,0.050505050505050504,0.16079947442894682,0.6765957446808512,0.1,2018,2019,LogReg,label_new,3200,420,B_macro
105,12,0.11428571428571428,0.429151213694753,0.71415770609319,0.5,2019,2020,LogReg,label_new,3726,438,B_macro
101,3,0.0297029702970297,0.12265822784810126,0.6530612244897959,0.1,2020,2021,LogReg,label_new,4298,462,B_macro
107,2,0.018691588785046728,0.026041666666666664,0.4809523809523809,0.0,2021,2022,LogReg,label_new,4899,539,B_macro
116,6,0.05172413793103448,0.20416115164014323,0.7424242424242425,0.16666666666666666,2022,2023,LogReg,label_new,5512,599,B_macro
119,3,0.025210084033613446,0.10304972804972805,0.6724137931034483,0.08333333333333333,2023,2024,LogReg,label_new,6143,612,B_macro
