n,pos,prevalence,pr_auc,roc_auc,prec_at_10,train_end,eval_year,model,label,train_rows,train_pos,config
99,5,0.050505050505050504,0.2098494919059435,0.7000000000000001,0.1,2018,2019,LogReg,label_new,3200,420,LogReg
105,12,0.11428571428571428,0.44262704887704885,0.7186379928315412,0.6,2019,2020,LogReg,label_new,3726,438,LogReg
101,3,0.0297029702970297,0.12102255174544331,0.6360544217687074,0.1,2020,2021,LogReg,label_new,4298,462,LogReg
107,2,0.018691588785046728,0.019824561403508772,0.2952380952380952,0.0,2021,2022,LogReg,label_new,4899,539,LogReg
116,6,0.05172413793103448,0.20999530348269843,0.7560606060606061,0.16666666666666666,2022,2023,LogReg,label_new,5512,599,LogReg
119,3,0.025210084033613446,0.1277526395173454,0.6724137931034482,0.08333333333333333,2023,2024,LogReg,label_new,6143,612,LogReg
99,5,0.050505050505050504,0.07453674588463745,0.4787234042553191,0.1,2018,2019,RandomForest,label_new,3200,420,RandomForest
105,12,0.11428571428571428,0.11359429126035658,0.3853046594982079,0.1,2019,2020,RandomForest,label_new,3726,438,RandomForest
101,3,0.0297029702970297,0.09426474992512729,0.7517006802721088,0.0,2020,2021,RandomForest,label_new,4298,462,RandomForest
107,2,0.018691588785046728,0.14583333333333331,0.9095238095238095,0.09090909090909091,2021,2022,RandomForest,label_new,4899,539,RandomForest
116,6,0.05172413793103448,0.0931511726223019,0.6272727272727272,0.08333333333333333,2022,2023,RandomForest,label_new,5512,599,RandomForest
119,3,0.025210084033613446,0.13200240004363717,0.692528735632184,0.16666666666666666,2023,2024,RandomForest,label_new,6143,612,RandomForest
99,5,0.050505050505050504,0.2650026740456942,0.5574468085106383,0.1,2018,2019,HistGB,label_new,3200,420,HistGB
105,12,0.11428571428571428,0.1772302070798584,0.3897849462365591,0.2,2019,2020,HistGB,label_new,3726,438,HistGB
101,3,0.0297029702970297,0.08101851851851852,0.7074829931972789,0.1,2020,2021,HistGB,label_new,4298,462,HistGB
107,2,0.018691588785046728,0.05303030303030303,0.7523809523809524,0.0,2021,2022,HistGB,label_new,4899,539,HistGB
116,6,0.05172413793103448,0.11797200333954841,0.5878787878787879,0.08333333333333333,2022,2023,HistGB,label_new,5512,599,HistGB
119,3,0.025210084033613446,0.10173160173160173,0.7701149425287356,0.16666666666666666,2023,2024,HistGB,label_new,6143,612,HistGB
99,5,0.050505050505050504,0.08097812097812099,0.65,0.1,2018,2019,LightGBM,label_new,3200,420,LightGBM
105,12,0.11428571428571428,0.10677880126409538,0.39560931899641577,0.2,2019,2020,LightGBM,label_new,3726,438,LightGBM
101,3,0.0297029702970297,0.13690476190476192,0.891156462585034,0.1,2020,2021,LightGBM,label_new,4298,462,LightGBM
107,2,0.018691588785046728,0.11688311688311688,0.9214285714285714,0.09090909090909091,2021,2022,LightGBM,label_new,4899,539,LightGBM
116,6,0.05172413793103448,0.06695547989837314,0.5234848484848484,0.0,2022,2023,LightGBM,label_new,5512,599,LightGBM
119,3,0.025210084033613446,0.07081984897518878,0.6925287356321839,0.08333333333333333,2023,2024,LightGBM,label_new,6143,612,LightGBM
99,5,0.050505050505050504,0.1261554086518548,0.6351063829787235,0.1,2018,2019,XGBoost,label_new,3200,420,XGBoost
105,12,0.11428571428571428,0.10485749237205663,0.42428315412186374,0.1,2019,2020,XGBoost,label_new,3726,438,XGBoost
101,3,0.0297029702970297,0.04747899159663865,0.5629251700680272,0.0,2020,2021,XGBoost,label_new,4298,462,XGBoost
107,2,0.018691588785046728,0.125,0.9,0.09090909090909091,2021,2022,XGBoost,label_new,4899,539,XGBoost
116,6,0.05172413793103448,0.08507760211191584,0.603030303030303,0.08333333333333333,2022,2023,XGBoost,label_new,5512,599,XGBoost
119,3,0.025210084033613446,0.09661127403062887,0.6724137931034483,0.08333333333333333,2023,2024,XGBoost,label_new,6143,612,XGBoost
99,5,0.050505050505050504,0.12481279835878013,0.5595744680851064,0.2,2018,2019,CatBoost,label_new,3200,420,CatBoost
105,12,0.11428571428571428,0.18306069717136442,0.482078853046595,0.2,2019,2020,CatBoost,label_new,3726,438,CatBoost
101,3,0.0297029702970297,0.1307798481711525,0.8520408163265306,0.1,2020,2021,CatBoost,label_new,4298,462,CatBoost
107,2,0.018691588785046728,0.10989010989010989,0.8571428571428571,0.09090909090909091,2021,2022,CatBoost,label_new,4899,539,CatBoost
116,6,0.05172413793103448,0.09112532088904965,0.6871212121212121,0.08333333333333333,2022,2023,CatBoost,label_new,5512,599,CatBoost
119,3,0.025210084033613446,0.12822510822510824,0.82183908045977,0.16666666666666666,2023,2024,CatBoost,label_new,6143,612,CatBoost
99,5,0.050505050505050504,0.23162796322896467,0.2893617021276596,0.1,2018,2019,DumbRule,label_new,3200,420,DumbRule
105,12,0.11428571428571428,0.15408383704603495,0.4798387096774194,0.1,2019,2020,DumbRule,label_new,3726,438,DumbRule
101,3,0.0297029702970297,0.032824014795845784,0.3979591836734694,0.0,2020,2021,DumbRule,label_new,4298,462,DumbRule
107,2,0.018691588785046728,0.020709430756159726,0.29523809523809524,0.0,2021,2022,DumbRule,label_new,4899,539,DumbRule
116,6,0.05172413793103448,0.08057936799860399,0.5318181818181817,0.08333333333333333,2022,2023,DumbRule,label_new,5512,599,DumbRule
119,3,0.025210084033613446,0.025763402433392465,0.37643678160919536,0.0,2023,2024,DumbRule,label_new,6143,612,DumbRule
99,5,0.050505050505050504,0.21503390226794483,0.7148936170212767,0.1,2018,2019,LogReg,label_new,1079,149,LogReg+stride3
105,12,0.11428571428571428,0.42667466792466796,0.7060931899641577,0.5,2019,2020,LogReg,label_new,1256,154,LogReg+stride3
101,3,0.0297029702970297,0.07088809239346873,0.6088435374149659,0.1,2020,2021,LogReg,label_new,1448,162,LogReg+stride3
107,2,0.018691588785046728,0.019904604659695468,0.30952380952380953,0.0,2021,2022,LogReg,label_new,1649,187,LogReg+stride3
116,6,0.05172413793103448,0.20224532802755582,0.740909090909091,0.16666666666666666,2022,2023,LogReg,label_new,1854,206,LogReg+stride3
119,3,0.025210084033613446,0.11673859693661673,0.6724137931034483,0.08333333333333333,2023,2024,LogReg,label_new,2065,210,LogReg+stride3
